Filename,Identifier,scientificName,CommonName,Comments
"Brachurapteryx_tesserata,I_MFS8946.jpg",I_MFS8946,Brachurapteryx tesserata,,
"Oospila_venezuelata,I_MFS8947.jpg",I_MFS8947,Oospila venezuelata,,
"Gn_sp_san_luis_1004,I_MFS8948.jpg",I_MFS8948,Gn sp_san_luis_1004,,
"moth_Geometridae,I_MFS8949.jpg",I_MFS8949,moth Geometridae,,
"moth_Notodontidae,I_MFS8950.jpg",I_MFS8950,moth Notodontidae,,
"moth,I_MFS8951.jpg",I_MFS8951,moth,,
"Oospila_venezuelata,I_MFS8952.jpg",I_MFS8952,Oospila venezuelata,,
"moth,I_MFS8953.jpg",I_MFS8953,moth,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_MFS8954.jpg",I_MFS8954,Afrida ydatodes,Dyars Lichen Moth,
"Ptychamalia_sp_san_luis_a,I_MFS8955.jpg",I_MFS8955,Ptychamalia sp_san_luis_a,,
"Himeromima_aulis,I_MFS8956.jpg",I_MFS8956,Himeromima aulis,,
"moth_Geometridae,I_MFS8957.jpg",I_MFS8957,moth Geometridae,,
"Rivula_leucosticta,I_MFS8958.jpg",I_MFS8958,Rivula leucosticta,,
"Gn_sp_san_luis_1004,I_MFS8959.jpg",I_MFS8959,Gn sp_san_luis_1004,,
"Thysanopyga_carfinia,I_MFS8960.jpg",I_MFS8960,Thysanopyga carfinia,,
"moth,I_MFS8962.jpg",I_MFS8962,moth,,
"moth_Crambidae,I_MFS8963.jpg",I_MFS8963,moth Crambidae,,
"moth_Geometridae,I_MFS8964.jpg",I_MFS8964,moth Geometridae,,
"moth_Geometridae,I_MFS8965.jpg",I_MFS8965,moth Geometridae,,
"moth_Crambidae,I_MFS8966.jpg",I_MFS8966,moth Crambidae,,
"Ptychamalia_sp_san_luis_a,I_MFS8967.jpg",I_MFS8967,Ptychamalia sp_san_luis_a,,
"moth_Crambidae,I_MFS8968.jpg",I_MFS8968,moth Crambidae,,
"Gn_sp_san_luis_1004,I_MFS8969.jpg",I_MFS8969,Gn sp_san_luis_1004,,
"moth_Geometridae,I_MFS8970.jpg",I_MFS8970,moth Geometridae,,
"insect,I_MFS8971.jpg",I_MFS8971,insect,,
"moth,I_MFS8972.jpg",I_MFS8972,moth,,
"insect,I_MFS8973.jpg",I_MFS8973,insect,,
"insect,I_MFS8974.jpg",I_MFS8974,insect,,
"moth_Noctuidae,I_MFS8975.jpg",I_MFS8975,moth Noctuidae,,
"moth_Crambidae,I_MFS8976.jpg",I_MFS8976,moth Crambidae,,
"Nepheloleuca_politia,I_MFS8977.jpg",I_MFS8977,Nepheloleuca politia,,
"Cathydata_batina,I_MFS8978.jpg",I_MFS8978,Cathydata batina,,
"moth_Geometridae,I_MFS8979.jpg",I_MFS8979,moth Geometridae,,
"Nemoria_vermiculata,I_MFS8980.jpg",I_MFS8980,Nemoria vermiculata,,
"moth,I_MFS8981.jpg",I_MFS8981,moth,,
"moth,I_MFS8982.jpg",I_MFS8982,moth,,
"Periclina_sp_san_luis_a,I_MFS8983.jpg",I_MFS8983,Periclina sp_san_luis_a,,
"moth_Noctuidae_delta,I_MFS8984.jpg",I_MFS8984,moth Noctuidae delta,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_MFS8985.jpg",I_MFS8985,Lophosis labeculata,Stained Lophosis Moth,
"moth_Notodontidae,I_MFS8986.jpg",I_MFS8986,moth Notodontidae,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_MFS8987.jpg",I_MFS8987,Lophosis labeculata,Stained Lophosis Moth,
"Meganola_sp_san_luis_b,I_MFS8988.jpg",I_MFS8988,Meganola sp_san_luis_b,,
"insect,I_MFS8989.jpg",I_MFS8989,insect,,
"Rhodochlora_brunneipalpis,I_MFS8990.jpg",I_MFS8990,Rhodochlora brunneipalpis,,
"Metanema_bonadea,I_MFS8991.jpg",I_MFS8991,Metanema bonadea,,
"Nephodia_auxesia,I_MFS8992.jpg",I_MFS8992,Nephodia auxesia,,
"moth,I_MFS8993.jpg",I_MFS8993,moth,,
"insect,I_MFS8994.jpg",I_MFS8994,insect,,
