Filename,Identifier,scientificName,CommonName,Comments
"moth_Geometridae,I_MFS14485.jpg",I_MFS14485,moth Geometridae,,
"Nematocampa_completa,I_MFS14486.jpg",I_MFS14486,Nematocampa completa,,
"moth_Crambidae,I_MFS14487.jpg",I_MFS14487,moth Crambidae,,
"moth,I_MFS14488.jpg",I_MFS14488,moth,,
"moth,I_MFS14491.jpg",I_MFS14491,moth,,
"moth,I_MFS14492.jpg",I_MFS14492,moth,,
"moth,I_MFS14493.jpg",I_MFS14493,moth,,
"moth,I_MFS14494.jpg",I_MFS14494,moth,,
"moth_Geometridae,I_MFS14495.jpg",I_MFS14495,moth Geometridae,,
"Rhabdatomis_laudamia,I_MFS14496.jpg",I_MFS14496,Rhabdatomis laudamia,,
"Nemoria_defectiva,I_MFS14497.jpg",I_MFS14497,Nemoria defectiva,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_MFS14498.jpg",I_MFS14498,Lophosis labeculata,Stained Lophosis Moth,
"Meganola_sp_san_luis_b,I_MFS14499.jpg",I_MFS14499,Meganola sp_san_luis_b,,
"moth_Noctuidae,I_MFS14500.jpg",I_MFS14500,moth Noctuidae,,
"moth_Hemiceras,I_MFS14501.jpg",I_MFS14501,moth Hemiceras,,
"moth_Noctuidae_delta,I_MFS14502.jpg",I_MFS14502,moth Noctuidae delta,,
"moth_Crambidae,I_MFS14503.jpg",I_MFS14503,moth Crambidae,,
"moth_Notodontidae,I_MFS14504.jpg",I_MFS14504,moth Notodontidae,,
"moth_Notodontidae,I_MFS14505.jpg",I_MFS14505,moth Notodontidae,,
"moth,I_MFS14506.jpg",I_MFS14506,moth,,
"Rhabdatomis_laudamia,I_MFS14507.jpg",I_MFS14507,Rhabdatomis laudamia,,
"moth,I_MFS14508.jpg",I_MFS14508,moth,,
"Crambidia_myrlosea,I_MFS14509.jpg",I_MFS14509,Crambidia myrlosea,,
"moth,I_MFS14510.jpg",I_MFS14510,moth,,
"Macaria_sp_san_luis_a,_maybe,I_MFS14511.jpg",I_MFS14511,Macaria sp_san_luis_a,maybe,
"moth,I_MFS14512.jpg",I_MFS14512,moth,,
"moth,I_MFS14513.jpg",I_MFS14513,moth,,
"Ametris_nitocris,I_MFS14514.jpg",I_MFS14514,Ametris nitocris,,
"moth,I_MFS14515.jpg",I_MFS14515,moth,,
"moth_Hemiceras,I_MFS14516.jpg",I_MFS14516,moth Hemiceras,,
"Rhabdatomis_laudamia,I_MFS14517.jpg",I_MFS14517,Rhabdatomis laudamia,,
"moth,I_MFS14518.jpg",I_MFS14518,moth,,
"Rhabdatomis_laudamia,I_MFS14519.jpg",I_MFS14519,Rhabdatomis laudamia,,
"Meganola_sp_san_luis_b,I_MFS14520.jpg",I_MFS14520,Meganola sp_san_luis_b,,
"moth_Crambidae,I_MFS14521.jpg",I_MFS14521,moth Crambidae,,
"moth_Crambidae,I_MFS14522.jpg",I_MFS14522,moth Crambidae,,
"moth,I_MFS14523.jpg",I_MFS14523,moth,,
"moth_Geometridae,I_MFS14524.jpg",I_MFS14524,moth Geometridae,,
"moth_Hemiceras,I_MFS14525.jpg",I_MFS14525,moth Hemiceras,,
"moth_Noctuidae,I_MFS14526.jpg",I_MFS14526,moth Noctuidae,,
"Herbita_amicaria,I_MFS14527.jpg",I_MFS14527,Herbita amicaria,,
"Patalene_aenetusaria,I_MFS14528.jpg",I_MFS14528,Patalene aenetusaria,,
"moth_Melese,I_MFS14529.jpg",I_MFS14529,moth Melese,,
"moth_Arctiidae,I_MFS14530.jpg",I_MFS14530,moth Arctiidae,,
"Nemoria_pescadora,I_MFS14531.jpg",I_MFS14531,Nemoria pescadora,,
"moth_Crambidae,I_MFS14532.jpg",I_MFS14532,moth Crambidae,,
"moth_Crambidae,I_MFS14533.jpg",I_MFS14533,moth Crambidae,,
"moth,I_MFS14534.jpg",I_MFS14534,moth,,
"moth,I_MFS14535.jpg",I_MFS14535,moth,,
"moth_Eucereon,I_MFS14536.jpg",I_MFS14536,moth Eucereon,,
"Brachurapteryx_tesserata,I_MFS14537.jpg",I_MFS14537,Brachurapteryx tesserata,,
"moth,I_MFS14538.jpg",I_MFS14538,moth,,
"Iridopsis_lurida--oberthuri--herse,I_MFS14539.jpg",I_MFS14539,Iridopsis lurida--oberthuri--herse,,
"Macaria_approximaria--gambarina--ostia,I_MFS14540.jpg",I_MFS14540,Macaria approximaria--gambarina--ostia,,
"moth_Eucereon,I_MFS14541.jpg",I_MFS14541,moth Eucereon,,
"moth,I_MFS14542.jpg",I_MFS14542,moth,,
"Clemensia_leopardina,I_MFS14543.jpg",I_MFS14543,Clemensia leopardina,,
"Glena_mopsaria,I_MFS14544.jpg",I_MFS14544,Glena mopsaria,,
"Patalene_aenetusaria,I_MFS14545.jpg",I_MFS14545,Patalene aenetusaria,,
"Rhabdatomis_laudamia,I_MFS14546.jpg",I_MFS14546,Rhabdatomis laudamia,,
"moth,I_MFS14547.jpg",I_MFS14547,moth,,
