Syngamia florella
Syngamilyta apicolor
Sarsina purpurascens
Pseudogerespa usipetes
Euglyphis gutturalis
Hemiceras metastigma
Empelathra amplificans
Eulepidotis juncida
Sarsina festiva
Rothschildia erycina
Cyanopepla scintillans
Antiblemma lothos
Bagisara tristicta
Bertholdia specularis
Parasa wellesca
Macrotes commatica
Xylophanes titana
Amastus episcotosia
Nebulosa erymas
Pupa chrysalis
Udea rubigalis
Bradina aaronalis
Xylophanes cthulhu
Parasa viridogrisea
Xylophanes porcus
Rhodochlora brunneipalpis
Idalus borealis
Gonodonta pulverea
Patalene falcularia
Eois brunneicosta
Letis scops
Perigonia ilus
Automeris belti
Acharia hyperoche
Dalcerides mesoa
Bryolymnia bicon
Pseudodirphia menander
Dalcerides gugelmanni
Macrosoma rubedinaria
Tolype caieta
Saurita fumosa
Josiomorpha penetrata
Eulepidotis hemura
Seirocastnia tribuna
Macaria carpo
Elysius discoplaga
Ptychoglene xylophila
Pachydota iodea
Mapeta xanthomelas
Oxydia sociata
Trygodes musivaria
Phassus n-signatus
