Meganola
Syntomeida melanthus
Phalaenophana pyramusalis Dark-banded Owlet
Lepidodes gallopavo
Pantographa expansalis
Sematura luna
Schrankia macula
Polypoetes villia
Urania fulgens
Opisthoxia uncinata
Castrica phalaenoides
Hyalorista sp_san_luis_a
Pseudophaloe troetschi
Hypena hemonalis
Melese asana
Eucereon aeolum
Nematocampa straminea
Isochromodes granula
Eucereon sp_san_luis_a
micro
Morpho peleides
= I_PBA17329
Tornos erectarius
Bagisara patula
Dysschema leucophaea
Cyphoedma transvolutata
truebug
Viviennea ardesiaca
Spilomela pantheralis
Perigea hippia--micrippia
Gonodonta pyrgo
Cathydata batina
Clemensia
Lophocampa modesta
Eulepidotis
Bertholdia albipuncta
Isanthrene monticola
Carales arizonensis--astur
Eucereon patrona
Opisthoxia phrynearia
Eusarca melenda
Semiothisa valmonaria
Herminodes subclara
Ascalapha odorata
= I_PBA20160
Renia discoloralis
Spodoptera dolichos
Hemeroblemma opigena
Argyrotome alba
Eois isographata
Cosmosoma impudica
Hypercompe caudata
Symphlebia ipsea
Neonerita dorsipuncta
Hypocrita reedia
Pseudasellodes fenestraria
Renia vinasalis
Celiptera levina
Phrygionis polita
Bernathonomus piperita
Herminodes partina
Bagisara repanda
Mesothen temperata
Macaria pernicata
Perasia garnoti
Sennia auritalis
Notarctia proxima
Ormetica sp_san_luis_a
spider
Massala hieroglyphica
Nesara casada
Eucereon decora
Elaphria deltoides
Micranthops alceste
Lesmone formularis
Stenoma luctifica
Mimosema consociata

Scopula compensata
Eucereon
Oospila albicoma
Glenopteris oculifera
todo
Gerra sevorsa
Xylophanes ceratomioides
Cosmosoma impar
Perasia helvina
Gonodonta sicheas
Eois sp_san_luis_k
Spingidae
Quentalia surynorta
Euglyphis libnites
Tricentrogyna vinacea
Nyceryx ericea
untitled
Xylophanes anubus
Meganola sp_san_luis_a
Spodoptera androgea
Eois xanthoperata
Eois sp san luis b
Xylophanes turbata
Phrygionis platinata
Notodontida
spider webspinner
ant
Bromeliaceae
banana
butterfly
praying mantis
Epimecis subroraria
fly
Anticarsia gemmatalis
Gonodonta sinaldus
Gn sp_san_luis_0001
beetle
Cosmosoma cingulatum
Ammalo paranomon
Phrygionis privignaria
eggs
Melinodes detersaria
lacewing
Gn sp_san_luis_1006
Hyperthaema orbicularis
Condica mimica
Acrosemia vulpecularia
Eulepidotis guttata--ouocco
Hemiceras rufescens
Satuniidae
Mesocia dumilla
Coronidia orithea
Sphingidaemo
Episimus transferranus
Orsa erythrospila
Rothschildia orizaba
Mursa imitatrix
caterpillar
Calymniodes acamas--conchylis--pyrostorta
Geo
archaeognatha
Glyphodes sibillalis
megaloptera
katydid
Anomis rubida
Bleptina caradrinalis
Cosmosoma festivum
Diaphania nitidalis
Xylophanes libya
Morphomima fulvivacta
Aellopos titan
Light
Cliniodes nomadalis
pupa chrysalis
Lophocampa annulosa
Isanthrene felderi
Cimicodes albicosta
Lampruna rosea
Xylophanes cthulhu maybe
frog
Enyo lugubris
bird
crab
earwig
stick insect
fungus
Gn sp_san_luis_2014
snail
Nyceryx stuarti
Crambidae delta
ground
Sosxetra grata
Eacles imperialis
chrysalis pupa
Spodoptera
Herminocala sabata
mantislfy mantidfly
Rhodochlora rothschildi
Prolimacodes badia
cicada
Hemiceras singuloides
Macrosoma cascaria
Eulepte concordalis
Lineodes sp_san_luis_a
Synclera jarbusalis
stink bug
Argyrosticta aurifundens
Ischnurges eudamidasalis
Tortyra slossonia
Thoscora acca
Epitausa flagrans
Syngamia florella
Syngamilyta apicolor
Sarsina purpurascens
Pseudogerespa usipetes
Euglyphis gutturalis
Hemiceras metastigma
Eucereon xanthura
Euglyphis larunda--obliterata
Empelathra amplificans
Eulepidotis juncida
Sarsina festiva
Rothschildia erycina
Cyanopepla scintillans
Eucereon flavicaput
Antiblemma lothos
Bagisara tristicta
Cerconota impresella
Bertholdia specularis
Argyrotome perspecta
caddisfly
Parasa wellesca
bee
Macrotes commatica
Xylophanes titana
Amastus episcotosia
= I_MFS4922
hymenoptera sawfly maybe
Nebulosa erymas
Pupa chrysalis
= I_MFS5180
fig wasp
worm planarian
= I_MFS5233
bee fly maybe
orthoptera cricket
beetle maybe
slug
caddisfly trichoptera
= I_MFS5928
caddisfly trichoptera maybe
truebug being eaten
= I_MFS6471
Udea rubigalis
stick insect phasmatodea
beetle Cerambycidae
neuroptera Mantispidae mantidfly mantisfly
butterfly Satyridae
Gonodonta
Bradina aaronalis
beetle Elateridae
stick insect Phasmatodea
Orthoptera
eggs lacewing maybe
planarian maybe
beetle mating
flower
chrysalis cacoon
maybe
fly mating
= I_MFS7057
Antaeotricha stigmatias
pupa cocoon
orthoperta grasshopper
Xylophanes cthulhu
beetle weevil
Diaphania praxialis
temp
cockroach
earwig dermaptera
Carathis byblis--septentrionalis
butterfly skipper
Parasa viridogrisea
Xylophanes porcus
Rhodochlora brunneipalpis
Idalus borealis
Gonodonta pulverea
Patalene falcularia
Fulgoridae
todoHymenomima camerata
Eois sp_san_luis_c
Eois brunneicosta
Eois sp_san_luis_j
Letis scops
Perigonia ilus
Automeris belti
Centipede
= I_MFS11690
Acharia hyperoche
Notodontidae
Nemoria astraeoides
Dalcerides mesoa
= I_PBA27442
Hermiceras
Bryolymnia bicon
Herminocala sp_san_luis_a
Gn sp_san_luis_0011
Letis
Pyralidaev
Crambidia
Macaria
Tosale
Pseudodirphia menander
Dalcerides gugelmanni
Eois sp_san_luis_i
394
Ctenucha sp_san_luis_a
Macrosoma rubedinaria
Goemetridae
Crambidae
Pyraldiae
Tolype caieta
Gn sp_san_luis_1008
Saurita fumosa
Geomtridae
Josiomorpha penetrata
Eulepidotis hemura
Glena mosparia
Seirocastnia tribuna
Eusarca flexiilis
Notontidae
Macaria carpo
Eusarca crameraria--brown
Elysius discoplaga
Morpheis strigifer
Ptychoglene xylophila
= I_PBA34184
Pachydota iodea
Lymantriidae
Mapeta xanthomelas
Oxydia sociata
Glena moparia
Trygodes musivaria
Eois
= I_PBA35358
= I_PBA35425
Geometridae
= I_PBA35476
Phassus n-signatus
